Role,Sector,Experience,City,State,Salary_in_office,Salary_remote,Avg.OfficeRent_per_sqft,Office Rent,Annual Commute Cost,Avg internet monthly payment,Electricity Price (cents per kWh),Cost of Living Index,National_Avg_Salary,In-Office Expenses,Remote Work Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio
Operations research analyst,Private,Entry,Tampa,Florida,80500.0,68952.0,31.47,56646.0,5623.94,83.25,14.2,101.4,68000.0,62269.94,2532.6,142769.94,71484.6,0.5
Operations research analyst,Private,Entry,Jefferson City,Missouri,47000.0,58684.0,21.59,38862.0,3937.23,72.8,11.57,86.3,68000.0,42799.23,2123.16,89799.23,60807.16,0.68
Operations research analyst,Private,Entry,Quantico,Virginia,62000.0,64402.8,28.91,52038.0,5590.44,86.7,14.46,94.71,68000.0,57628.44,2602.08,119628.44,67004.88,0.56
Operations research analyst,Private,Entry,,Texas,3000.0,61914.0,27.45,49410.0,5151.54,80.83,15.32,91.05,68000.0,54561.54,2624.52,57561.54,64538.52,1.12
Operations research analyst,Private,Entry,Augusta,Maine,80000.0,68000.0,19.6,35280.0,7073.12,80.83,26.29,100.0,68000.0,42353.12,3809.28,122353.12,71809.28,0.59
Operations research analyst,Private,Entry,Rochester,New York,70000.0,65688.0,21.48,38664.0,3519.92,80.83,24.37,96.6,68000.0,42183.92,3601.92,112183.92,69289.92,0.62
Network administrator,Private,Entry,Fort Meade,Maryland,105000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,158107.22,67582.28,0.43
Operations research analyst,Private,Entry,Miami,Florida,66000.0,74868.0,49.18,88524.0,4541.57,83.25,14.2,110.1,68000.0,93065.57,2532.6,159065.57,77400.6,0.49
Network administrator,Private,Entry,San Antonio,Texas,177500.0,59328.0,27.34,49212.0,4251.07,80.83,15.32,92.7,64000.0,53463.07,2624.52,230963.07,61952.52,0.27
Network administrator,Private,Entry,Frederick,Maryland,38960.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,92067.22,67582.28,0.73
Operations research analyst,Private,Entry,Newton,Massachusetts,71000.0,77894.0,48.35,87030.0,6062.35,93.6,31.22,114.55,68000.0,93092.35,4494.96,164092.35,82388.96,0.5
Network administrator,Private,Entry,Annapolis Junction,Maryland,131000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,184107.22,67582.28,0.37
Operations research analyst,Private,Entry,Roseville,California,112000.0,85510.0,26.64,47952.0,7036.89,80.83,30.55,125.75,68000.0,54988.89,4269.36,166988.89,89779.36,0.54
Operations research analyst,Private,Entry,Colorado Springs,Colorado,127500.0,69496.0,22.25,40050.0,4572.31,80.83,15.16,102.2,68000.0,44622.31,2607.24,172122.31,72103.24,0.42
Network administrator,Private,Entry,Juneau,Alaska,6500.0,69952.0,36.46,65628.0,4845.27,103.73,22.38,109.3,64000.0,70473.27,3661.8,76973.27,73613.8,0.96
Operations research analyst,Private,Entry,Pawtucket,Rhode Island,80000.0,75310.0,30.88,55584.0,4872.75,80.83,25.31,110.75,68000.0,60456.75,3703.44,140456.75,79013.44,0.56
Network administrator,Private,Entry,Milwaukie,Oregon,24500.0,67974.4,24.32,43776.0,5185.42,72.27,14.12,106.21,64000.0,48961.42,2392.2,73461.42,70366.6,0.96
Operations research analyst,Private,Entry,Chantilly,Virginia,83500.0,64402.8,23.77,42786.0,5590.44,86.7,14.46,94.71,68000.0,48376.44,2602.08,131876.44,67004.88,0.51
Network administrator,Private,Entry,Santa Fe,New Mexico,38560.0,67264.0,19.07,34326.0,4666.31,68.46,14.26,105.1,64000.0,38992.31,2361.6,77552.31,69625.6,0.9
Operations research analyst,Private,Entry,Newark,Delaware,30000.0,69802.0,36.46,65628.0,7073.12,80.66,16.68,102.65,68000.0,72701.12,2769.36,102701.12,72571.36,0.71
Network administrator,Private,Entry,Albuquerque,New Mexico,82500.0,59456.0,20.12,36216.0,4666.31,68.46,14.26,92.9,64000.0,40882.31,2361.6,123382.31,61817.6,0.5
Operations research analyst,Private,Entry,Washington,District of Columbia,87500.0,81668.0,52.54,94572.0,7073.12,80.83,20.27,120.1,68000.0,101645.12,3159.03,189145.12,84827.03,0.45
Network administrator,Private,Entry,Fairport,New York,120000.0,62105.6,33.56,60408.0,6758.4,80.83,24.37,97.04,64000.0,67166.4,3601.92,187166.4,65707.52,0.35
Network administrator,Private,Entry,Lewisburg,Pennsylvania,12500.0,59808.0,28.6,51480.0,6024.26,84.33,17.6,93.45,64000.0,57504.26,2912.76,70004.26,62720.76,0.9
Network administrator,Private,Entry,Annapolis Junction,Maryland,99500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,152607.22,67582.28,0.44
Operations research analyst,Private,Entry,Ashland,Ohio,21000.0,60384.0,20.56,37008.0,4054.52,80.83,15.98,88.8,68000.0,41062.52,2695.8,62062.52,63079.8,1.02
Operations research analyst,Private,Entry,Rohnert Park,California,101500.0,85510.0,40.28,72504.0,7036.89,80.83,30.55,125.75,68000.0,79540.89,4269.36,181040.89,89779.36,0.5
Network administrator,Private,Entry,Hurlburt Fld,Florida,71500.0,64806.4,31.24,56232.0,4977.02,83.25,14.2,101.26,64000.0,61209.02,2532.6,132709.02,67339.0,0.51
Network administrator,Private,Entry,Suffolk,Virginia,68000.0,60614.4,28.91,52038.0,5590.44,86.7,14.46,94.71,64000.0,57628.44,2602.08,125628.44,63216.48,0.5
Operations research analyst,Private,Entry,Covington,Georgia,101500.0,62492.0,23.66,42588.0,5285.46,80.83,13.49,91.9,68000.0,47873.46,2426.88,149373.46,64918.88,0.43
Operations research analyst,Private,Entry,Norfolk,Virginia,72000.0,64402.8,27.21,48978.0,4390.35,86.7,14.46,94.71,68000.0,53368.35,2602.08,125368.35,67004.88,0.53
Operations research analyst,Private,Entry,Kansas City,Missouri,56500.0,62288.0,20.86,37548.0,4508.63,72.8,11.57,91.6,68000.0,42056.63,2123.16,98556.63,64411.16,0.65
Operations research analyst,Private,Entry,Klamath Falls,Oregon,61000.0,66028.0,24.32,43776.0,5185.42,72.27,14.12,97.1,68000.0,48961.42,2392.2,109961.42,68420.2,0.62
Network administrator,Private,Entry,Greenbelt,Maryland,59500.0,64716.8,23.23,41814.0,6001.22,75.44,18.15,101.12,64000.0,47815.22,2865.48,107315.22,67582.28,0.63
Network administrator,Private,Entry,Las Vegas,Nevada,72500.0,64448.0,30.23,54414.0,5392.82,80.83,14.88,100.7,64000.0,59806.82,2577.0,132306.82,67025.0,0.51
Network administrator,Private,Entry,Gulfport,Mississippi,75500.0,55552.0,20.12,36216.0,2535.04,80.83,13.44,86.8,64000.0,38751.04,2421.48,114251.04,57973.48,0.51
Network administrator,Private,Entry,Austin,Texas,53500.0,68224.0,41.81,75258.0,6365.46,80.83,15.32,106.6,64000.0,81623.46,2624.52,135123.46,70848.52,0.52
Network administrator,Private,Entry,Las Vegas,Nevada,125000.0,64448.0,30.23,54414.0,5392.82,80.83,14.88,100.7,64000.0,59806.82,2577.0,184806.82,67025.0,0.36
Network administrator,Private,Entry,Louisville,Kentucky,62000.0,58624.0,19.71,35478.0,4469.83,79.56,13.28,91.6,64000.0,39947.83,2388.96,101947.83,61012.96,0.6
Network administrator,Private,Entry,Washington,District of Columbia,89000.0,76864.0,52.54,94572.0,7073.12,80.83,20.27,120.1,64000.0,101645.12,3159.03,190645.12,80023.03,0.42
Network administrator,Private,Entry,Windsor,North Carolina,51500.0,58777.6,27.48,49464.0,4979.85,80.83,13.49,91.84,64000.0,54443.85,2426.88,105943.85,61204.48,0.58
Network administrator,Private,Entry,Annapolis Junction,Maryland,87500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,140607.22,67582.28,0.48
Network administrator,Private,Entry,Leesburg,Florida,57500.0,64806.4,31.24,56232.0,4977.02,83.25,14.2,101.26,64000.0,61209.02,2532.6,118709.02,67339.0,0.57
Network administrator,Private,Entry,Fort Meade,Maryland,135000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,188107.22,67582.28,0.36
Network administrator,Private,Entry,Annapolis Junction,Maryland,81500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,134607.22,67582.28,0.5
Network administrator,Private,Entry,Beavercreek,Ohio,76000.0,56832.0,20.56,37008.0,4054.52,80.83,15.98,88.8,64000.0,41062.52,2695.8,117062.52,59527.8,0.51
Network administrator,Private,Entry,Houston,Texas,48500.0,61312.0,31.12,56016.0,5245.46,80.83,15.32,95.8,64000.0,61261.46,2624.52,109761.46,63936.52,0.58
Network administrator,Private,Entry,Pasadena,Maryland,23500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,76607.22,67582.28,0.88
Network administrator,Private,Entry,Annapolis Junction,Maryland,91500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,144607.22,67582.28,0.47
Network administrator,Private,Entry,San Antonio,Texas,71000.0,59328.0,27.34,49212.0,4251.07,80.83,15.32,92.7,64000.0,53463.07,2624.52,124463.07,61952.52,0.5
Network administrator,Private,Entry,Hampton,Virginia,69000.0,60614.4,16.45,29610.0,5590.44,86.7,14.46,94.71,64000.0,35200.44,2602.08,104200.44,63216.48,0.61
Operations research analyst,Private,Entry,Los Angeles,California,28165.0,95608.0,49.02,88236.0,6877.72,80.83,30.55,140.6,68000.0,95113.72,4269.36,123278.72,99877.36,0.81
Network administrator,Private,Entry,,Texas,68500.0,58272.0,27.45,49410.0,5151.54,80.83,15.32,91.05,64000.0,54561.54,2624.52,123061.54,60896.52,0.49
Operations research analyst,Private,Entry,North Canton,Ohio,70000.0,60384.0,20.56,37008.0,4054.52,80.83,15.98,88.8,68000.0,41062.52,2695.8,111062.52,63079.8,0.57
Network administrator,Private,Entry,Colorado Springs,Colorado,34500.0,65408.0,22.25,40050.0,4572.31,80.83,15.16,102.2,64000.0,44622.31,2607.24,79122.31,68015.24,0.86
Network administrator,Private,Entry,Fort Meade,Maryland,117500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,170607.22,67582.28,0.4
Operations research analyst,Private,Entry,Manchester,New Hampshire,33395.00000000000,74528.0,26.74,48132.0,7073.12,80.83,23.62,109.6,68000.0,55205.12,3520.92,88600.12,78048.92,0.88
Network administrator,Private,Entry,Annapolis Junction,Maryland,81000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,134107.22,67582.28,0.5
Operations research analyst,Private,Entry,Oroville,California,71500.0,85510.0,40.28,72504.0,7036.89,80.83,30.55,125.75,68000.0,79540.89,4269.36,151040.89,89779.36,0.59
Network administrator,Private,Entry,Winston-Salem,North Carolina,67500.0,58368.0,18.11,32598.0,4134.69,80.83,13.49,91.2,64000.0,36732.69,2426.88,104232.69,60794.88,0.58
Operations research analyst,Private,Entry,Charleston,South Carolina,39500.0,69156.0,34.93,62874.0,7073.12,74.17,13.87,101.7,68000.0,69947.12,2388.0,109447.12,71544.0,0.65
Network administrator,Private,Entry,Milwaukee,Wisconsin,77500.0,60032.0,23.29,41922.0,3992.97,80.83,16.31,93.8,64000.0,45914.97,2731.44,123414.97,62763.44,0.51
Network administrator,Private,Entry,Annapolis Junction,Maryland,122000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,175107.22,67582.28,0.39
Operations research analyst,Private,Entry,Oceanport,New Jersey,61000.0,70312.0,31.19,56142.0,8059.16,82.79,19.49,103.4,68000.0,64201.16,3098.4,125201.16,73410.4,0.59
Operations research analyst,Private,Entry,Washington,District of Columbia,81000.0,81668.0,52.54,94572.0,7073.12,80.83,20.27,120.1,68000.0,101645.12,3159.03,182645.12,84827.03,0.46
Network administrator,Private,Entry,Medford,Oregon,75000.0,68800.0,24.32,43776.0,5185.42,72.27,14.12,107.5,64000.0,48961.42,2392.2,123961.42,71192.2,0.57
Operations research analyst,Private,Entry,Chico,California,33500.0,75140.0,40.28,72504.0,7036.89,80.83,30.55,110.5,68000.0,79540.89,4269.36,113040.89,79409.36,0.7
Network administrator,Private,Entry,Kihei,Hawaii,138000.0,98924.8,37.48,67464.0,5029.32,63.18,42.34,154.57,64000.0,72493.32,5330.88,210493.32,104255.68,0.5
Operations research analyst,Private,Entry,Teaneck,New Jersey,88000.0,70312.0,31.19,56142.0,8059.16,82.79,19.49,103.4,68000.0,64201.16,3098.4,152201.16,73410.4,0.48
Network administrator,Private,Entry,Springfield,Illinois,7500.0,56000.0,23.79,42822.0,7041.83,80.83,15.99,87.5,64000.0,49863.83,2696.88,57363.83,58696.88,1.02
Operations research analyst,Private,Entry,Denver,Colorado,100500.0,76228.0,36.45,65610.0,6740.21,80.83,15.16,112.1,68000.0,72350.21,2607.24,172850.21,78835.24,0.46
Network administrator,Private,Entry,Huntsville,Alabama,76000.0,58432.0,24.98,44964.0,4951.76,74.1,14.91,91.3,64000.0,49915.76,2499.48,125915.76,60931.48,0.48
Operations research analyst,Private,Entry,,Maryland,120500.0,68761.6,26.17,47106.0,6001.22,75.44,18.15,101.12,68000.0,53107.22,2865.48,173607.22,71627.08,0.41
Network administrator,Private,Entry,Tampa,Florida,93000.0,64896.0,31.47,56646.0,5623.94,83.25,14.2,101.4,64000.0,62269.94,2532.6,155269.94,67428.6,0.43
Network administrator,Private,Entry,Annapolis Junction,Maryland,170000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,223107.22,67582.28,0.3
Operations research analyst,Private,Entry,Concord,Massachusetts,84500.0,77894.0,48.35,87030.0,6062.35,93.6,31.22,114.55,68000.0,93092.35,4494.96,177592.35,82388.96,0.46
Network administrator,Private,Entry,Des Moines,Iowa,21500.0,58688.0,25.08,45144.0,3640.73,75.86,12.43,91.7,64000.0,48784.73,2252.76,70284.73,60940.76,0.87
Operations research analyst,Private,Entry,Piqua,Ohio,75000.0,60384.0,20.56,37008.0,4054.52,80.83,15.98,88.8,68000.0,41062.52,2695.8,116062.52,63079.8,0.54
Network administrator,Private,Entry,Augusta,Georgia,90500.0,58624.0,23.66,42588.0,3281.58,80.83,13.49,91.6,64000.0,45869.58,2426.88,136369.58,61050.88,0.45
Operations research analyst,Private,Entry,Baton Rouge,Louisiana,6000.0,61948.0,20.05,36090.0,3786.25,80.83,11.7,91.1,68000.0,39876.25,2233.56,45876.25,64181.56,1.4
Network administrator,Private,Entry,Panama City,Florida,54500.0,65216.0,31.24,56232.0,4977.02,83.25,14.2,101.9,64000.0,61209.02,2532.6,115709.02,67748.6,0.59
Operations research analyst,Private,Entry,Birmingham,Alabama,58500.0,61676.0,21.76,39168.0,3577.96,74.1,14.91,90.7,68000.0,42745.96,2499.48,101245.96,64175.48,0.63
Network administrator,Private,Entry,Tempe,Arizona,72500.0,64249.6,27.45,49410.0,4251.53,75.34,15.2,100.39,64000.0,53661.53,2545.68,126161.53,66795.28,0.53
Operations research analyst,Private,Entry,Vandenberg AFB,California,105000.0,85510.0,40.28,72504.0,7036.89,80.83,30.55,125.75,68000.0,79540.89,4269.36,184540.89,89779.36,0.49
Network administrator,Private,Entry,State College,Pennsylvania,63500.0,63872.0,28.6,51480.0,6024.26,84.33,17.6,99.8,64000.0,57504.26,2912.76,121004.26,66784.76,0.55
Operations research analyst,Private,Entry,,California,80500.0,85510.0,40.28,72504.0,7036.89,80.83,30.55,125.75,68000.0,79540.89,4269.36,160040.89,89779.36,0.56
Operations research analyst,Private,Entry,Albuquerque,New Mexico,67000.0,63172.0,20.12,36216.0,4666.31,68.46,14.26,92.9,68000.0,40882.31,2361.6,107882.31,65533.6,0.61
Operations research analyst,Private,Entry,Antioch,Tennessee,45000.0,61465.2,27.17,48906.0,4096.03,80.83,13.04,90.39,68000.0,53002.03,2378.28,98002.03,63843.48,0.65
Operations research analyst,Private,Entry,Albany,New York,73000.0,68068.0,19.46,35028.0,6758.4,80.83,24.37,100.1,68000.0,41786.4,3601.92,114786.4,71669.92,0.62
Operations research analyst,Private,Entry,Tumwater,Washington,81000.0,72773.6,31.45,56610.0,6659.49,80.83,11.83,107.02,68000.0,63269.49,2247.6,144269.49,75021.2,0.52
Operations research analyst,Private,Entry,Annapolis,Maryland,45000.0,68761.6,29.76,53568.0,6001.22,75.44,18.15,101.12,68000.0,59569.22,2865.48,104569.22,71627.08,0.68
Operations research analyst,Private,Entry,Waltham,Massachusetts,56500.0,77894.0,48.35,87030.0,6062.35,93.6,31.22,114.55,68000.0,93092.35,4494.96,149592.35,82388.96,0.55
Operations research analyst,Private,Entry,Dallas,Texas,79500.0,66980.0,26.83,48294.0,5360.48,80.83,15.32,98.5,68000.0,53654.48,2624.52,133154.48,69604.52,0.52
Operations research analyst,Private,Entry,Huntsville,Alabama,69500.0,62084.0,24.98,44964.0,4951.76,74.1,14.91,91.3,68000.0,49915.76,2499.48,119415.76,64583.48,0.54
Operations research analyst,Private,Entry,Scottsdale,Arizona,65000.0,68265.2,33.08,59544.0,6794.99,75.34,15.2,100.39,68000.0,66338.99,2545.68,131338.99,70810.88,0.54
Operations research analyst,Private,Entry,Des Moines,Iowa,59500.0,62356.0,25.08,45144.0,3640.73,75.86,12.43,91.7,68000.0,48784.73,2252.76,108284.73,64608.76,0.6
Network administrator,Private,Entry,Scott Air Force Base,Illinois,60000.0,56358.4,23.79,42822.0,7041.83,80.83,15.99,88.06,64000.0,49863.83,2696.88,109863.83,59055.28,0.54
Network administrator,Private,Entry,Hampton,Virginia,70000.0,60614.4,16.45,29610.0,5590.44,86.7,14.46,94.71,64000.0,35200.44,2602.08,105200.44,63216.48,0.6
Network administrator,Private,Entry,College Park,Maryland,89000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,142107.22,67582.28,0.48
Network administrator,Private,Entry,Fort Drum,New York,21930.0,62105.6,33.56,60408.0,6758.4,80.83,24.37,97.04,64000.0,67166.4,3601.92,89096.4,65707.52,0.74
Network administrator,Private,Entry,Laurel,Maryland,126000.0,64716.8,23.3,41940.0,6001.22,75.44,18.15,101.12,64000.0,47941.22,2865.48,173941.22,67582.28,0.39
Network administrator,Private,Entry,Feasterville Trevose,Pennsylvania,25855.000000000000,59808.0,28.6,51480.0,6024.26,84.33,17.6,93.45,64000.0,57504.26,2912.76,83359.26,62720.76,0.75
Network administrator,Private,Entry,Arlington,Virginia,122500.0,60614.4,41.96,75528.0,5590.44,86.7,14.46,94.71,64000.0,81118.44,2602.08,203618.44,63216.48,0.31
Network administrator,Private,Entry,Independence,Missouri,87500.0,56172.8,21.59,38862.0,3937.23,72.8,11.57,87.77,64000.0,42799.23,2123.16,130299.23,58295.96,0.45
Network administrator,Private,Entry,Fort Meade,Maryland,67500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,120607.22,67582.28,0.56
Network administrator,Private,Entry,Hurlburt Fld,Florida,65000.0,64806.4,31.24,56232.0,4977.02,83.25,14.2,101.26,64000.0,61209.02,2532.6,126209.02,67339.0,0.53
Network administrator,Private,Entry,Birmingham,Alabama,65000.0,58048.0,21.76,39168.0,3577.96,74.1,14.91,90.7,64000.0,42745.96,2499.48,107745.96,60547.48,0.56
Network administrator,Private,Entry,Clayton,North Carolina,75500.0,58777.6,27.48,49464.0,4979.85,80.83,13.49,91.84,64000.0,54443.85,2426.88,129943.85,61204.48,0.47
Network administrator,Private,Entry,Fort Meade,Maryland,136000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,189107.22,67582.28,0.36
Network administrator,Private,Entry,Madison,Virginia,52500.0,60614.4,28.91,52038.0,5590.44,86.7,14.46,94.71,64000.0,57628.44,2602.08,110128.44,63216.48,0.57
Network administrator,Private,Entry,Frederick,Maryland,43860.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,96967.22,67582.28,0.7
Network administrator,Private,Entry,Seward,Alaska,22625.0,69952.0,36.46,65628.0,4845.27,103.73,22.38,109.3,64000.0,70473.27,3661.8,93098.27,73613.8,0.79
Network administrator,Private,Entry,Pomfret,Connecticut,85500.0,69478.4,27.62,49716.0,7073.12,72.47,28.16,108.56,64000.0,56789.12,3910.92,142289.12,73389.32,0.52
Network administrator,Private,Entry,Annapolis Junction,Maryland,87000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,140107.22,67582.28,0.48
Network administrator,Private,Entry,Fort Meade,Maryland,122000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,175107.22,67582.28,0.39
Network administrator,Private,Entry,Arlington,Virginia,76500.0,60614.4,41.96,75528.0,5590.44,86.7,14.46,94.71,64000.0,81118.44,2602.08,157618.44,63216.48,0.4
Network administrator,Private,Entry,Chantilly,Virginia,101000.0,60614.4,23.77,42786.0,5590.44,86.7,14.46,94.71,64000.0,48376.44,2602.08,149376.44,63216.48,0.42
Network administrator,Private,Entry,Fort Eustis,Virginia,59000.0,60614.4,28.91,52038.0,5590.44,86.7,14.46,94.71,64000.0,57628.44,2602.08,116628.44,63216.48,0.54
Network administrator,Private,Entry,Columbia,Maryland,62500.0,64716.8,25.01,45018.0,6001.22,75.44,18.15,101.12,64000.0,51019.22,2865.48,113519.22,67582.28,0.6
Operations research analyst,Private,Entry,Quincy,Massachusetts,71500.0,77894.0,48.35,87030.0,6062.35,93.6,31.22,114.55,68000.0,93092.35,4494.96,164592.35,82388.96,0.5
Network administrator,Private,Entry,South Lake Tahoe,California,72500.0,80480.0,40.28,72504.0,7036.89,80.83,30.55,125.75,64000.0,79540.89,4269.36,152040.89,84749.36,0.56
Network administrator,Private,Entry,Annapolis Junction,Maryland,74500.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,127607.22,67582.28,0.53
Operations research analyst,Private,Entry,Cincinnati,Ohio,90500.0,62832.0,18.83,33894.0,4560.93,80.83,15.98,92.4,68000.0,38454.93,2695.8,128954.93,65527.8,0.51
Operations research analyst,Private,Entry,Oklahoma City,Oklahoma,36790.0,59364.0,21.53,38754.0,4392.38,81.27,11.52,87.3,68000.0,43146.38,2219.4,79936.38,61583.4,0.77
Operations research analyst,Private,Entry,Baton Rouge,Louisiana,53000.0,61948.0,20.05,36090.0,3786.25,80.83,11.7,91.1,68000.0,39876.25,2233.56,92876.25,64181.56,0.69
Network administrator,Private,Entry,Fort Meade,Maryland,83000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,136107.22,67582.28,0.5
Operations research analyst,Private,Entry,Stillwater,Minnesota,36710.0,66714.8,25.42,45756.0,5231.86,68.66,14.05,98.11,68000.0,50987.86,2341.32,87697.86,69056.12,0.79
Operations research analyst,Private,Entry,Phoenix,Arizona,53000.0,70924.0,26.61,47898.0,5119.48,75.34,15.2,104.3,68000.0,53017.48,2545.68,106017.48,73469.68,0.69
Operations research analyst,Private,Entry,Frankfort,Kentucky,5000.0,59908.0,19.69,35442.0,4469.83,79.56,13.28,88.1,68000.0,39911.83,2388.96,44911.83,62296.96,1.39
Operations research analyst,Private,Entry,West Lafayette,Indiana,62000.0,59364.0,20.45,36810.0,4331.59,80.83,14.42,87.3,68000.0,41141.59,2527.32,103141.59,61891.32,0.6
Operations research analyst,Private,Entry,Washington,District of Columbia,74000.0,81668.0,52.54,94572.0,7073.12,80.83,20.27,120.1,68000.0,101645.12,3159.03,175645.12,84827.03,0.48
Operations research analyst,Private,Entry,Colorado Springs,Colorado,110000.0,69496.0,22.25,40050.0,4572.31,80.83,15.16,102.2,68000.0,44622.31,2607.24,154622.31,72103.24,0.47
Operations research analyst,Private,Entry,Holloman AFB,New Mexico,84000.0,61621.6,19.07,34326.0,4666.31,68.46,14.26,90.62,68000.0,38992.31,2361.6,122992.31,63983.2,0.52
Operations research analyst,Private,Entry,Alexandria,Virginia,83000.0,64402.8,36.25,65250.0,9008.39,86.7,14.46,94.71,68000.0,74258.39,2602.08,157258.39,67004.88,0.43
Operations research analyst,Private,Entry,Los Angeles,California,103000.0,95608.0,49.02,88236.0,6877.72,80.83,30.55,140.6,68000.0,95113.72,4269.36,198113.72,99877.36,0.5
Operations research analyst,Private,Entry,Washington,District of Columbia,83000.0,81668.0,52.54,94572.0,7073.12,80.83,20.27,120.1,68000.0,101645.12,3159.03,184645.12,84827.03,0.46
Operations research analyst,Private,Entry,Merced,California,58500.0,73576.0,40.28,72504.0,7036.89,80.83,30.55,108.2,68000.0,79540.89,4269.36,138040.89,77845.36,0.56
Operations research analyst,Private,Entry,Seattle,Washington,98000.0,84728.0,43.13,77634.0,10361.54,80.83,11.83,124.6,68000.0,87995.54,2247.6,185995.54,86975.6,0.47
Operations research analyst,Private,Entry,Boston,Massachusetts,91500.0,90168.0,65.72,118296.0,8589.18,93.6,31.22,132.6,68000.0,126885.18,4494.96,218385.18,94662.96,0.43
Operations research analyst,Private,Entry,Cleveland,Ohio,75500.0,61200.0,20.79,37422.0,3936.9,80.83,15.98,90.0,68000.0,41358.9,2695.8,116858.9,63895.8,0.55
Operations research analyst,Private,Entry,Charleston,South Carolina,23000.0,69156.0,34.93,62874.0,7073.12,74.17,13.87,101.7,68000.0,69947.12,2388.0,92947.12,71544.0,0.77
Operations research analyst,Private,Entry,San Antonio,Texas,5500.0,63036.0,27.34,49212.0,4251.07,80.83,15.32,92.7,68000.0,53463.07,2624.52,58963.07,65660.52,1.11
Operations research analyst,Private,Entry,Anchorage,Alaska,30225.0,75276.0,36.46,65628.0,4845.27,103.73,22.38,110.7,68000.0,70473.27,3661.8,100698.27,78937.8,0.78
Operations research analyst,Private,Entry,Austin,Texas,85500.0,72488.0,41.81,75258.0,6365.46,80.83,15.32,106.6,68000.0,81623.46,2624.52,167123.46,75112.52,0.45
Operations research analyst,Private,Entry,Lexington Park,Maryland,61000.0,68761.6,26.17,47106.0,6001.22,75.44,18.15,101.12,68000.0,53107.22,2865.48,114107.22,71627.08,0.63
Operations research analyst,Private,Entry,Washington,District of Columbia,111500.0,81668.0,52.54,94572.0,7073.12,80.83,20.27,120.1,68000.0,101645.12,3159.03,213145.12,84827.03,0.4
Network administrator,Private,Entry,Seattle,Washington,31000.0,79744.0,43.13,77634.0,10361.54,80.83,11.83,124.6,64000.0,87995.54,2247.6,118995.54,81991.6,0.69
Network administrator,Private,Entry,Fort Meade,Maryland,75000.0,64716.8,26.17,47106.0,6001.22,75.44,18.15,101.12,64000.0,53107.22,2865.48,128107.22,67582.28,0.53
Network administrator,Private,Entry,Augusta,Georgia,66500.0,58624.0,23.66,42588.0,3281.58,80.83,13.49,91.6,64000.0,45869.58,2426.88,112369.58,61050.88,0.54
Network administrator,Private,Entry,San Diego,California,62500.0,87168.0,41.6,74880.0,6210.03,80.83,30.55,136.2,64000.0,81090.03,4269.36,143590.03,91437.36,0.64
Network administrator,Private,Entry,Sumter,South Carolina,62500.0,56384.0,27.08,48744.0,7073.12,74.17,13.87,88.1,64000.0,55817.12,2388.0,118317.12,58772.0,0.5
Network administrator,Private,Entry,Herndon,Virginia,103000.0,60614.4,29.67,53406.0,5590.44,86.7,14.46,94.71,64000.0,58996.44,2602.08,161996.44,63216.48,0.39
Network administrator,Private,Entry,,Hawaii,4500.0,98924.8,37.48,67464.0,5029.32,63.18,42.34,154.57,64000.0,72493.32,5330.88,76993.32,104255.68,1.35
Network administrator,Private,Entry,Michigan City,Indiana,77500.0,56192.0,20.45,36810.0,4331.59,80.83,14.42,87.8,64000.0,41141.59,2527.32,118641.59,58719.32,0.49
