,Role,Salary_in_office,Experience,City,State,Salary_remote,Avg.OfficeRent_per_sqft,Avg internet monthly payment,Annual Commute Cost,Electricity Price (cents per kWh),Cost of Living Index,adjusted_national_salary,Remote Work Expenses,Office Rent,In-Office Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio
328,Accountant,72000.0,Entry,Columbus,Ohio,42765.816000000006,21.28,80.83,4562.82,15.98,93.9,45544.0,2695.8,38304.0,42866.82,114866.82,45461.61600000001,0.3957767438847877
329,Accountant,70000.0,Entry,Indianapolis,Indiana,41080.688,20.84,80.83,4670.34,14.42,90.2,45544.0,2527.3199999999997,37512.0,42182.34,112182.34,43608.008,0.3887243571492625
330,Accountant,48500.0,Entry,Convent,Louisiana,40351.984,19.57,80.83,3973.93,11.7,88.6,45544.0,2233.56,35226.0,39199.93,87699.93,42585.543999999994,0.4855824172265587
331,Accountant,67500.0,Entry,Beloit,Wisconsin,41608.9984,21.02,80.83,4333.44,16.31,91.36,45544.0,2731.4399999999996,37836.0,42169.44,109669.44,44340.4384,0.4043098824978043
332,Accountant,55500.0,Entry,Houston,Texas,43631.152,31.12,80.83,5245.46,15.32,95.8,45544.0,2624.52,56016.0,61261.46,116761.46,46255.672,0.3961553067253527
333,Accountant,75000.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,146239.74,61898.24,0.4232655227641953
334,Accountant,91500.0,Entry,Davenport,Iowa,39714.368,22.91,75.86,3640.73,12.43,87.2,45544.0,2252.76,41238.0,44878.73,136378.73,41967.128,0.3077248776257119
335,Accountant,34000.0,Entry,San Diego,California,62030.928,41.6,80.83,6210.03,30.55,136.2,45544.0,4269.360000000001,74880.0,81090.03,115090.03,66300.288,0.5760732532609472
336,Accountant,135000.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,206239.74,61898.24,0.3001276087721988
337,Accountant,125000.0,Entry,Wilmington,Delaware,46750.916000000005,36.46,80.66,7073.12,16.68,102.65,45544.0,2769.36,65628.0,72701.12,197701.12,49520.276000000005,0.2504805030947726
338,Accountant,121000.0,Entry,Reston,Virginia,43134.72239999999,30.21,86.7,5590.44,14.46,94.71,45544.0,2602.08,54378.0,59968.44,180968.44,45736.80239999999,0.2527335838226819
339,Accountant,62500.0,Entry,Riverside,California,52876.583999999995,28.23,80.83,5772.57,30.55,116.1,45544.0,4269.360000000001,50814.0,56586.57,119086.57,57145.944,0.4798689222470678
340,Accountant,62000.0,Entry,Pennsauken,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,126201.16,50190.89600000001,0.3977055044501968
341,Accountant,85000.0,Entry,Post Falls,Idaho,43253.1368,23.06,64.88,4351.75,10.97,94.97,45544.0,1963.32,41508.0,45859.75,130859.75,45216.4568,0.3455337244645508
342,Accountant,58500.0,Entry,Omaha,Nebraska,42310.376,24.26,80.83,4094.4,10.78,92.9,45544.0,2134.2,43668.00000000001,47762.40000000001,106262.4,44444.576,0.4182530791700545
343,Accountant,55500.0,Entry,Fort Lauderdale,Florida,46117.8544,32.61,83.25,5474.08,14.2,101.26,45544.0,2532.6,58698.0,64172.08,119672.08,48650.4544,0.4065313680517628
344,Accountant,114000.0,Entry,Chestnut Hill,Massachusetts,52170.652,48.35,93.6,6062.35,31.22,114.55,45544.0,4494.96,87030.0,93092.35,207092.35,56665.612,0.2736248441818348
345,Accountant,68500.0,Entry,Arlington,Virginia,43134.72239999999,41.96,86.7,5590.44,14.46,94.71,45544.0,2602.08,75528.0,81118.44,149618.44,45736.80239999999,0.3056896088476794
346,Accountant,51000.0,Entry,Cleveland,Ohio,40989.6,20.79,80.83,3936.9,15.98,90.0,45544.0,2695.8,37422.0,41358.9,92358.9,43685.4,0.4729961054105235
347,Accountant,59500.0,Entry,Clear Lake Shores,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,114061.54,44092.331999999995,0.3865661641952229
348,Accountant,105500.0,Entry,Folsom,California,57271.58,26.82,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,48276.0,55312.89,160812.89,61540.94,0.3826866117510853
349,Accountant,63500.0,Entry,Coral Gables,Florida,46117.8544,50.34,83.25,4977.02,14.2,101.26,45544.0,2532.6,90612.0,95589.02000000002,159089.02000000002,48650.4544,0.3058064874621768
350,Accountant,62500.0,Entry,Brooklyn,New York,44195.8976,44.85,80.83,6758.4,24.37,97.04,45544.0,3601.92,80730.0,87488.4,149988.4,47797.8176,0.3186767616695691
351,Accountant,60000.0,Entry,Troy,Michigan,40916.7296,19.87,80.83,3880.78,18.41,89.84,45544.0,2958.24,35766.0,39646.78,99646.78,43874.9696,0.4403049411129993
352,Accountant,70000.0,Entry,Moore,South Carolina,42542.6504,27.08,74.17,7073.12,13.87,93.41,45544.0,2388.0,48743.99999999999,55817.119999999995,125817.12,44930.6504,0.3571107842875437
353,Accountant,25520.0,Entry,,Alabama,40702.6728,20.67,74.1,4021.31,14.91,89.37,45544.0,2499.48,37206.00000000001,41227.310000000005,66747.31,43202.1528,0.64724934682761
354,Accountant,70000.0,Entry,Maui Meadows,Hawaii,70397.3608,37.48,63.18,5029.32,42.34,154.57,45544.0,5330.88,67463.99999999999,72493.31999999998,142493.31999999998,75728.2408,0.5314511641668537
355,Accountant,85000.0,Entry,Redondo Beach,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,164540.89,61540.94,0.3740160880374477
356,Accountant,55500.0,Entry,Saint Croix Falls,Wisconsin,41608.9984,21.02,80.83,4333.44,16.31,91.36,45544.0,2731.4399999999996,37836.0,42169.44,97669.44,44340.4384,0.4539847714904477
357,Accountant,28160.0,Entry,Kalamazoo,Michigan,40670.791999999994,18.88,80.83,3880.78,18.41,89.3,45544.0,2958.24,33984.0,37864.78,66024.78,43629.03199999999,0.6607978398413443
358,Accountant,145000.0,Entry,Burlington,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,209201.16,50190.89600000001,0.2399169105945684
359,Accountant,92000.0,Entry,Buffalo,New York,44314.312000000005,19.21,80.83,4174.42,24.37,97.3,45544.0,3601.92,34578.0,38752.42,130752.42,47916.232,0.3664653549050947
360,Accountant,140000.0,Entry,Loveland,Colorado,49324.152,25.38,80.83,5740.88,15.16,108.3,45544.0,2607.24,45684.0,51424.88,191424.88,51931.392,0.2712886224611973
361,Accountant,65000.0,Entry,Corona,California,57271.58,31.49,80.83,6525.11,30.55,125.75,45544.0,4269.360000000001,56682.0,63207.11,128207.11,61540.94,0.4800119119758647
362,Accountant,67500.0,Entry,Burnet,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,122061.54,44092.331999999995,0.3612303433169858
363,Accountant,58000.0,Entry,Nashville,Tennessee,45589.543999999994,30.46,80.83,5088.14,13.04,100.1,45544.0,2378.2799999999997,54828.0,59916.14,117916.14,47967.82399999999,0.4067960840644885
364,Accountant,57500.0,Entry,Milwaukee,Wisconsin,42720.272,23.29,80.83,3992.97,16.31,93.8,45544.0,2731.4399999999996,41922.0,45914.97,103414.97,45451.71200000001,0.4395080518806901
365,Accountant,65000.0,Entry,Wilmington,Massachusetts,52170.652,48.35,93.6,6062.35,31.22,114.55,45544.0,4494.96,87030.0,93092.35,158092.35,56665.612,0.3584336117465519
366,Accountant,110000.0,Entry,Arroyo Grande,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,189540.89,61540.94,0.3246842409571887
367,Accountant,63500.0,Entry,Los Angeles,California,64034.863999999994,49.02,80.83,6877.72,30.55,140.6,45544.0,4269.360000000001,88236.00000000001,95113.72000000002,158613.72000000003,68304.22399999999,0.4306325077048819
368,Accountant,83000.0,Entry,Fairfield,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,162540.89,61540.94,0.3786182049329248
369,Accountant,78500.0,Entry,Riviera Beach,Florida,46117.8544,31.24,83.25,4977.02,14.2,101.26,45544.0,2532.6,56232.0,61209.02,139709.02000000002,48650.4544,0.3482270106826316
370,Accountant,80000.0,Entry,Eastchester,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,147166.4,47797.8176,0.3247875710760065
371,Accountant,55500.0,Entry,Miami,Florida,50143.944,49.18,83.25,4541.57,14.2,110.1,45544.0,2532.6,88524.0,93065.57,148565.57,52676.543999999994,0.3545676430952339
372,Accountant,26500.0,Entry,American Fork,Utah,45525.7824,24.79,69.01,4143.37,11.02,99.96,45544.0,2018.28,44622.0,48765.37,75265.37,47544.062399999995,0.6316857593339407
373,Accountant,65000.0,Entry,Syracuse,New York,43312.344,33.56,80.83,6758.4,24.37,95.1,45544.0,3601.92,60408.0,67166.4,132166.4,46914.264,0.3549636216163866
374,Accountant,53500.0,Entry,Rochester,Minnesota,44314.312000000005,25.42,68.66,5231.86,14.05,97.3,45544.0,2341.32,45756.00000000001,50987.86000000001,104487.86000000002,46655.632000000005,0.4465172509035978
375,Accountant,65500.0,Entry,Valley Center,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,145040.89,61540.94,0.4243006230863586
376,Accountant,62500.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,133739.74,61898.24,0.4628260829578404
377,Accountant,57000.0,Entry,Fort Myers,Florida,46227.16,22.14,83.25,4977.02,14.2,101.5,45544.0,2532.6,39852.0,44829.02,101829.02,48759.76,0.4788395292422533
378,Accountant,55000.0,Entry,Houston,Texas,43631.152,31.12,80.83,5245.46,15.32,95.8,45544.0,2624.52,56016.0,61261.46,116261.46,46255.672,0.3978590325633275
379,Accountant,57000.0,Entry,Southfield,Michigan,40916.7296,20.47,80.83,3880.78,18.41,89.84,45544.0,2958.24,36846.0,40726.78,97726.78,43874.9696,0.4489554408730135
380,Accountant,65000.0,Entry,Houston,Texas,43631.152,31.12,80.83,5245.46,15.32,95.8,45544.0,2624.52,56016.0,61261.46,126261.46,46255.672,0.366348306126034
381,Accountant,75000.0,Entry,Bridgeport,West Virginia,38402.7008,36.46,86.17,7073.12,14.51,84.32,45544.0,2601.12,65628.0,72701.12,147701.12,41003.8208,0.277613472396147
382,Accountant,75000.0,Entry,Milwaukee,Wisconsin,42720.272,23.29,80.83,3992.97,16.31,93.8,45544.0,2731.4399999999996,41922.0,45914.97,120914.97,45451.71200000001,0.3758981373439534
383,Accountant,97500.0,Entry,La Palma,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,177040.89,61540.94,0.3476086230700715
384,Accountant,58500.0,Entry,Church Rock,New Mexico,41271.9728,19.07,68.46,4666.31,14.26,90.62,45544.0,2361.6,34326.0,38992.31,97492.31,43633.5728,0.4475591233811159
385,Accountant,205500.0,Entry,,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,285040.89,61540.94,0.2159021465306258
386,Accountant,90000.0,Entry,West Palm Beach,Florida,46117.8544,36.56,83.25,4977.02,14.2,101.26,45544.0,2532.6,65808.0,70785.02,160785.02000000002,48650.4544,0.3025807652976626
387,Accountant,65000.0,Entry,West Covina,California,57271.58,28.21,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,50778.0,57814.89,122814.89,61540.94,0.5010869610354249
388,Accountant,64000.0,Entry,Staten Island,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,131166.4,47797.8176,0.3644059576232938
389,Accountant,104500.0,Entry,Jersey City,New Jersey,47092.49600000001,50.0,82.79,10903.23,19.49,103.4,45544.0,3098.4,90000.0,100903.23,205403.23,50190.89600000001,0.2443530026280502
390,Accountant,170000.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,241239.74,61898.24,0.2565839276729447
391,Accountant,130000.0,Entry,Woodland Hills,California,57271.58,26.77,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,48186.0,55222.89,185222.89,61540.94,0.3322534272086997
392,Accountant,24000.0,Entry,King of Prussia,Pennsylvania,42560.867999999995,30.34,84.33,6024.26,17.6,93.45,45544.0,2912.76,54612.0,60636.26,84636.26000000001,45473.628,0.5372830510232848
393,Accountant,59000.0,Entry,Budd Lake,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,123201.16,50190.89600000001,0.4073898005505793
394,Accountant,72000.0,Entry,Kyle,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,126561.54,44092.331999999995,0.3483865003538989
395,Accountant,65000.0,Entry,Las Cruces,New Mexico,40443.072,19.07,68.46,4666.31,14.26,88.8,45544.0,2361.6,34326.0,38992.31,103992.31,42804.672,0.4116138202911349
396,Accountant,59500.0,Entry,Southfield,Michigan,40916.7296,20.47,80.83,3880.78,18.41,89.84,45544.0,2958.24,36846.0,40726.78,100226.78,43874.9696,0.4377569507870052
397,Accountant,23750.0,Entry,Albuquerque,New Mexico,42310.376,20.12,68.46,4666.31,14.26,92.9,45544.0,2361.6,36216.0,40882.31,64632.31,44671.976,0.6911709638724038
398,Accountant,81500.0,Entry,New Orleans,Louisiana,42082.656,20.03,80.83,4692.05,11.7,92.4,45544.0,2233.56,36054.0,40746.05,122246.05,44316.216,0.3625165475694306
399,Accountant,85000.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,156239.74,61898.24,0.3961747504188115
400,Accountant,115000.0,Entry,Wayne,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,179201.16,50190.89600000001,0.2800813119736502
401,Accountant,20000.0,Entry,Boca Raton,Florida,46117.8544,34.31,83.25,4977.02,14.2,101.26,45544.0,2532.6,61758.0,66735.02,86735.02,48650.4544,0.5609090122997609
402,Accountant,54500.0,Entry,Little Rock,Arkansas,40078.72,19.74,80.01,3854.67,11.74,88.0,45544.0,2228.04,35531.99999999999,39386.66999999999,93886.66999999998,42306.76,0.4506151938289004
403,Accountant,22500.0,Entry,Manchester,New Hampshire,49916.223999999995,26.74,80.83,7073.12,23.62,109.6,45544.0,3520.92,48131.99999999999,55205.119999999995,77705.12,53437.14399999999,0.6876914159581762
404,Accountant,100000.0,Entry,Franklin,Tennessee,41167.2216,32.66,80.83,4096.03,13.04,90.39,45544.0,2378.2799999999997,58787.999999999985,62884.029999999984,162884.02999999997,43545.5016,0.2673405219652289
405,Accountant,95500.0,Entry,Munhall,Pennsylvania,42560.867999999995,28.6,84.33,6024.26,17.6,93.45,45544.0,2912.76,51480.0,57504.26,153004.26,45473.628,0.2972049797829158
406,Accountant,132500.0,Entry,Grand Rapids,Michigan,42674.728,22.56,80.83,3494.24,18.41,93.7,45544.0,2958.24,40608.0,44102.24,176602.24,45632.96799999999,0.2583940498149966
407,Accountant,101000.0,Entry,Bethesda,Maryland,46054.092800000006,36.91,75.44,6001.22,18.15,101.12,45544.0,2865.4799999999996,66437.99999999999,72439.21999999999,173439.21999999997,48919.57280000001,0.2820560009437313
408,Accountant,27000.0,Entry,Ontario,California,57271.58,29.34,80.83,6164.74,30.55,125.75,45544.0,4269.360000000001,52812.0,58976.74,85976.73999999999,61540.94,0.7157859207036695
409,Accountant,105000.0,Entry,Portland,Oregon,53058.76,28.45,72.27,6557.06,14.12,116.5,45544.0,2392.2,51210.0,57767.06,162767.06,55450.96,0.3406767929579855
410,Accountant,132000.0,Entry,Austin,Texas,48549.903999999995,41.81,80.83,6365.46,15.32,106.6,45544.0,2624.52,75258.0,81623.46,213623.46,51174.42399999999,0.2395543261025731
411,Accountant,54500.0,Entry,Ogden,Utah,45452.912,18.76,69.01,4143.37,11.02,99.8,45544.0,2018.28,33768.00000000001,37911.37000000001,92411.37,47471.192,0.5136942780958663
412,Accountant,32174.999999999996,Entry,Phoenix,Arizona,47502.392,26.61,75.34,5119.48,15.2,104.3,45544.0,2545.68,47898.0,53017.48,85192.48,50048.072,0.5874705373056401
413,Accountant,77500.0,Entry,Monterey Park,California,57271.58,32.42,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,58356.0,65392.89,142892.89,61540.94,0.4306788112410631
414,Accountant,64500.0,Entry,Baltimore,Maryland,48732.08,26.17,75.44,6001.22,18.15,107.0,45544.0,2865.4799999999996,47106.00000000001,53107.22000000001,117607.22,51597.56,0.4387278264038551
415,Accountant,6000.0,Entry,Vancouver,Washington,48741.1888,27.34,80.83,4996.3,11.83,107.02,45544.0,2247.6000000000004,49212.0,54208.3,60208.3,50988.788799999995,0.8468730856044764
416,Accountant,70000.0,Entry,Cranbury,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,134201.16,50190.89600000001,0.3739974825850984
417,Accountant,54500.0,Entry,Novi,Michigan,40916.7296,29.41,80.83,3880.78,18.41,89.84,45544.0,2958.24,52938.0,56818.78,111318.78,43874.9696,0.39413807445608
418,Accountant,32670.0,Entry,Naples,Florida,49825.136000000006,34.28,83.25,4977.02,14.2,109.4,45544.0,2532.6,61704.0,66681.02,99351.02,52357.736,0.5269974681689227
419,Accountant,27500.0,Entry,Vero Beach,Florida,45043.016,31.24,83.25,4977.02,14.2,98.9,45544.0,2532.6,56232.0,61209.02,88709.02,47575.616,0.5363109185514618
420,Accountant,31000.0,Entry,San Juan,Puerto Rico,51851.844,36.46,80.83,7073.12,20.269186534216335,113.85,45544.0,3159.0321456953643,65628.0,72701.12,103701.12,55010.876145695365,0.5304752363879519
421,Accountant,23500.0,Entry,Reading,Pennsylvania,43722.24,28.6,84.33,6024.26,17.6,96.0,45544.0,2912.76,51480.0,57504.26,81004.26000000001,46635.0,0.575710462634928
422,Accountant,61500.0,Entry,Houston,Texas,43631.152,31.12,80.83,5245.46,15.32,95.8,45544.0,2624.52,56016.0,61261.46,122761.46,46255.672,0.3767931075436868
423,Accountant,99500.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,170739.74,61898.24,0.3625297777775695
424,Accountant,63500.0,Entry,Pasadena,California,57271.58,42.33,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,76194.0,83230.89,146730.89,61540.94,0.4194136626582173
425,Accountant,68500.0,Entry,Thibodaux,Louisiana,40351.984,19.57,80.83,3973.93,11.7,88.6,45544.0,2233.56,35226.0,39199.93,107699.93,42585.543999999994,0.3954092077868574
426,Accountant,85000.0,Entry,,Arizona,45721.6216,27.25,75.34,5693.03,15.2,100.39,45544.0,2545.68,49050.0,54743.03,139743.03,48267.3016,0.3454004224754537
427,Accountant,66500.0,Entry,Marlborough,Massachusetts,52170.652,48.35,93.6,6062.35,31.22,114.55,45544.0,4494.96,87030.0,93092.35,159592.35,56665.612,0.3550647133148926
428,Accountant,53000.0,Entry,Atlanta,Georgia,45680.632000000005,34.79,80.83,7289.35,13.49,100.3,45544.0,2426.88,62622.0,69911.35,122911.35,48107.512,0.3914000781864327
429,Accountant,50500.0,Entry,Oviedo,Florida,46117.8544,31.24,83.25,4977.02,14.2,101.26,45544.0,2532.6,56232.0,61209.02,111709.02,48650.4544,0.4355105290512798
430,Accountant,23500.0,Entry,Aliso Viejo,California,57271.58,29.96,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,53928.0,60964.89,84464.89,61540.94,0.7285978825047899
431,Accountant,59500.0,Entry,,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,114061.54,44092.331999999995,0.3865661641952229
432,Accountant,58500.0,Entry,Baltimore,Maryland,48732.08,26.17,75.44,6001.22,18.15,107.0,45544.0,2865.4799999999996,47106.00000000001,53107.22000000001,111607.22,51597.56,0.4623138180486889
433,Accountant,4500.0,Entry,Sacramento,California,54789.432,26.2,80.83,5912.24,30.55,120.3,45544.0,4269.360000000001,47160.0,53072.24,57572.24,59058.792,1.0258206385577495
434,Accountant,57000.0,Entry,Plano,Texas,41467.812,37.11,80.83,7098.23,15.32,91.05,45544.0,2624.52,66798.0,73896.23,130896.23,44092.331999999995,0.336849518125923
435,Accountant,111000.0,Entry,Minneapolis,Minnesota,48003.376,30.87,68.66,5694.89,14.05,105.4,45544.0,2341.32,55566.0,61260.89,172260.89,50344.696,0.2922584226750483
436,Accountant,31380.000000000004,Entry,Port Arthur,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,85941.54000000001,44092.331999999995,0.5130502897667414
437,Accountant,131000.0,Entry,Des Moines,Iowa,41763.848000000005,25.08,75.86,3640.73,12.43,91.7,45544.0,2252.76,45143.99999999999,48784.73,179784.72999999998,44016.60800000001,0.2448295136077464
438,Accountant,65000.0,Entry,Hartville,Ohio,40443.072,20.56,80.83,4054.52,15.98,88.8,45544.0,2695.8,37008.0,41062.52,106062.52,43138.872,0.4067305962558687
439,Accountant,115000.0,Entry,Kings Park,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,182166.4,47797.8176,0.2623854761361041
440,Accountant,105000.0,Entry,Greendale,Indiana,39759.912,20.45,80.83,4331.59,14.42,87.3,45544.0,2527.3199999999997,36810.0,41141.59,146141.59,42287.232,0.289357957580727
441,Accountant,77500.0,Entry,Atlantic City,New Jersey,46454.88,31.19,82.79,8059.16,19.49,102.0,45544.0,3098.4,56142.0,64201.16,141701.16,49553.28,0.3497027123842882
442,Accountant,70000.0,Entry,Las Vegas,Nevada,45862.808,30.23,80.83,5392.82,14.88,100.7,45544.0,2577.0,54414.0,59806.82,129806.82,48439.808,0.3731684359881861
443,Accountant,110000.0,Entry,Placentia,California,57271.58,25.44,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,45792.0,52828.89,162828.89,61540.94,0.3779485323519677
444,Accountant,75000.0,Entry,Brookshire,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,129561.54,44092.331999999995,0.3403196041047365
445,Accountant,47500.0,Entry,Atlanta,Georgia,45680.632000000005,34.79,80.83,7289.35,13.49,100.3,45544.0,2426.88,62622.0,69911.35,117411.35,48107.512,0.4097347658467431
446,Accountant,52500.0,Entry,Hutchins,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,107061.54,44092.331999999995,0.411841002847521
447,Accountant,90000.0,Entry,Gainesville,Florida,44314.312000000005,31.24,83.25,4977.02,14.2,97.3,45544.0,2532.6,56232.0,61209.02,151209.02000000002,46846.912,0.3098155916889085
448,Accountant,55500.0,Entry,Auburn,Washington,48741.1888,31.45,80.83,6659.49,11.83,107.02,45544.0,2247.6000000000004,56610.0,63269.49,118769.49,50988.788799999995,0.4293088132314115
449,Accountant,68500.0,Entry,Woodbury,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,135666.4,47797.8176,0.3523187583661098
450,Accountant,56500.0,Entry,Lakewood Ranch,Florida,46117.8544,31.24,83.25,4977.02,14.2,101.26,45544.0,2532.6,56232.0,61209.02,117709.02,48650.4544,0.4133111837988287
451,Accountant,62500.0,Entry,Washington,District of Columbia,54698.344,52.54,80.83,7073.12,20.269186534216335,120.1,45544.0,3159.0321456953643,94572.0,101645.12,164145.12,57857.376145695365,0.3524769797950458
452,Accountant,69500.0,Entry,Richardson,Texas,41467.812,25.53,80.83,5151.54,15.32,91.05,45544.0,2624.52,45954.0,51105.54,120605.54,44092.331999999995,0.3655912655421964
453,Accountant,35860.0,Entry,Yakima,Washington,44405.4,31.45,80.83,6659.49,11.83,97.5,45544.0,2247.6000000000004,56610.0,63269.49,99129.49,46653.0,0.4706268538252341
454,Accountant,77500.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,148739.74,61898.24,0.4161513257990097
455,Accountant,65500.0,Entry,Houston,Texas,43631.152,31.12,80.83,5245.46,15.32,95.8,45544.0,2624.52,56016.0,61261.46,126761.46,46255.672,0.3649032758063847
456,Accountant,68000.0,Entry,Shelton,Washington,49916.223999999995,31.45,80.83,6659.49,11.83,109.6,45544.0,2247.6000000000004,56610.0,63269.49,131269.49,52163.82399999999,0.3973796500618688
457,Accountant,38500.0,Entry,Bayamon,Puerto Rico,51851.844,36.46,80.83,7073.12,20.269186534216335,113.85,45544.0,3159.0321456953643,65628.0,72701.12,111201.12,55010.876145695365,0.4946971410512355
458,Accountant,6500.0,Entry,Juneau,Alaska,49779.592,36.46,103.73,4845.27,22.38,109.3,45544.0,3661.8,65628.0,70473.27,76973.27,53441.39200000001,0.6942850680502466
459,Accountant,7000.0,Entry,Ellensburg,Washington,48741.1888,31.45,80.83,6659.49,11.83,107.02,45544.0,2247.6000000000004,56610.0,63269.49,70269.48999999999,50988.788799999995,0.7256177439170257
460,Accountant,66500.0,Entry,Boston,Massachusetts,60391.344,65.72,93.6,8589.18,31.22,132.6,45544.0,4494.96,118296.0,126885.18,193385.18,64886.304,0.3355288342157346
461,Accountant,57000.0,Entry,Shreveport,Louisiana,39076.752,19.57,80.83,3443.5,11.7,85.8,45544.0,2233.56,35226.0,38669.5,95669.5,41310.312,0.4318023194435008
462,Accountant,85000.0,Entry,Champaign,Illinois,40534.16,23.79,80.83,7041.83,15.99,89.0,45544.0,2696.88,42822.0,49863.83,134863.83000000002,43231.04,0.3205532573114674
463,Accountant,102500.0,Entry,Auburn,New Hampshire,49041.7792,26.74,80.83,7073.12,23.62,107.68,45544.0,3520.92,48131.99999999999,55205.119999999995,157705.12,52562.699199999995,0.3332973539476714
464,Accountant,62500.0,Entry,Snow Hill,North Carolina,41827.6096,27.48,80.83,4979.85,13.49,91.84,45544.0,2426.88,49464.0,54443.85,116943.85,44254.48959999999,0.3784251125647051
465,Accountant,82500.0,Entry,Manorville,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,149666.4,47797.8176,0.3193623792648183
466,Accountant,106000.0,Entry,Wilmington,Delaware,46750.916000000005,36.46,80.66,7073.12,16.68,102.65,45544.0,2769.36,65628.0,72701.12,178701.12,49520.276000000005,0.27711228670531
467,Accountant,70000.0,Entry,Newport News,Virginia,43134.72239999999,18.48,86.7,4082.0,14.46,94.71,45544.0,2602.08,33264.0,37346.0,107346.0,45736.80239999999,0.4260689955843719
468,Accountant,3500.0,Entry,Indianapolis,Indiana,41080.688,20.84,80.83,4670.34,14.42,90.2,45544.0,2527.3199999999997,37512.0,42182.34,45682.34,43608.008,0.9545922560008968
469,Accountant,62500.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,133739.74,61898.24,0.4628260829578404
470,Accountant,155000.0,Entry,Santa Ana,California,57271.58,28.83,80.83,4314.88,30.55,125.75,45544.0,4269.360000000001,51894.0,56208.88,211208.88,61540.94,0.2913747755302712
471,Accountant,60500.0,Entry,Milwaukee,Wisconsin,42720.272,23.29,80.83,3992.97,16.31,93.8,45544.0,2731.4399999999996,41922.0,45914.97,106414.97,45451.71200000001,0.4271176508342765
472,Accountant,60000.0,Entry,Florence,South Carolina,39942.088,27.08,74.17,7073.12,13.87,87.7,45544.0,2388.0,48743.99999999999,55817.119999999995,115817.12,42330.088,0.3654907668227288
