Keyword,Location,rating,Company,Job_title,Place,salary,post_date,Job_description,Keyword_backup
management analyst,United States,3.5,Independence Blue Cross,Supervisor Workforce Analyst,"Philadelphia, PA",$70K - $99K (Glassdoor est.),13d,, Management analyst 
management analyst,United States,3.6,Moen,Lead RGM Analyst,"Deerfield, IL",$74K - $119K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.9,TD Bank,Senior Group Risk Analyst (US) Third Party Risk Management-Pre-Contract,"Mount Laurel, NJ",$69K - $112K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.4,The Washington Post,"Lead Industry Analyst/Reporter, Energy and Climate","Washington, DC",$172K - $320K (Employer est.),6d,, Management analyst 
management analyst,United States,4.3,East West Bank,Lead Operational Risk Analyst,"Pasadena, CA",$80K - $105K (Employer est.),4d,, Management analyst 
management analyst,United States,3.7,Harris Health System,Lead Compliance Data Analyst,"Bellaire, TX",$62K - $91K (Glassdoor est.),3d,, Management analyst 
management analyst,United States,3.8,Energy Transfer Partners,Lead Regulatory Analyst,"Houston, TX",$82K - $116K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,Lifepoint Health Support Center,"Sr. Analyst, Workforce Management Reporting - Remote","Brentwood, TN",,18d,, Management analyst 
management analyst,United States,3.2,NV Energy,Senior Contract Management Analyst,"Las Vegas, NV",$90K - $106K (Employer est.),12d,, Management analyst 
management analyst,United States,4.0,JPMorganChase,Lead Solutions Analyst - Capital Markets,"Plano, TX",$143K - $190K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.2,Shure,"Analyst Lead, SAP Security","Niles, IL",$111K - $200K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.4,Amneal Pharmaceuticals,Senior Contract Analyst & Management Specialist,"Bridgewater, NJ",$84K - $116K (Glassdoor est.),7d,, Management analyst 
management analyst,United States,4.0,Credit Acceptance,"Analyst/Senior Analyst/Manager, Sales and Marketing Analytics",Remote,$88K - $179K (Employer est.),24d,, Management analyst 
management analyst,United States,2.8,Acadia Healthcare,"Sr. Identity & Access Management (IAM) Analyst - Franklin, TN","Franklin, TN",,30d+,, Management analyst 
management analyst,United States,3.8,Merrick Bank,"Sr. Analyst, Credit Risk Management","South Jordan, UT",$79K - $121K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.7,"T-Mobile USA, Inc.","Sr Analyst, Credit Risk Management","Overland Park, KS",$85K - $153K (Employer est.),14d,, Management analyst 
management analyst,United States,3.8,Capital One,Sr. Business Analyst - Compliance Risk Management,"Richmond, VA",,30d+,, Management analyst 
management analyst,United States,3.9,Cox Automotive,Sr Technical Analyst - Tech Vendor Management,"Atlanta, GA",$87K - $131K (Employer est.),6d,, Management analyst 
management analyst,United States,4.2,"Lockton, Inc.",Global People Solutions Analyst Assistant Manager,"Washington, DC",$125K - $140K (Employer est.),12d,, Management analyst 
management analyst,United States,3.8,Absolute Business Solutions Corp,"Life Cycle Logistics Management Analyst, Level III",Virginia,,30d+,, Management analyst 
management analyst,United States,3.6,HII,PROJECT MANAGEMENT ANALYST 3,"Newport News, VA",$60K - $88K (Glassdoor est.),7d,, Management analyst 
management analyst,United States,4.2,Chevo Consulting,Senior Business Management Analyst,"Washington, DC",$90K - $121K (Employer est.),4d,, Management analyst 
management analyst,United States,3.8,Abbott Laboratories,"Senior Workday Analyst, Talent Management","Abbott Park, IL",$75K - $151K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.6,Peraton,"Target Digital Network Analyst (TDNA), Lead Associate","Fort Meade, MD",$104K - $166K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.3,CardWorks,Analyst II Enterprise Risk Management,Long Island-Queens,$77K - $85K (Employer est.),5d,, Management analyst 
management analyst,United States,3.9,Bank of America,Senior Analyst - Asset Liability Management Treasury Analytics and Forecasting,"Charlotte, NC",$73K - $101K (Glassdoor est.),25d,, Management analyst 
management analyst,United States,3.5,Brookfield Asset Management,"Analyst/Associate, Fundraise Management, Private Equity","New York, NY",$120K - $160K (Employer est.),12d,, Management analyst 
management analyst,United States,,"TST NA Trim, LLC",Bilingual (Japanese/ English) Business Planning Analyst Assistant Manager,"Hidalgo, TX",,30d+,, Management analyst 
management analyst,United States,4.1,SAIC,Senior Configuration Management Analyst,"Colorado Springs, CO",$80K - $120K (Employer est.),27d,, Management analyst 
management analyst,United States,3.9,Goldman Sachs,Asset & Wealth Management Operations-Senior Analyst-Albany-Client Onboarding & Configuration,"Albany, NY",$50K - $75K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.7,Brookfield Properties,Senior Revenue Management Analyst,"Charleston, SC",$64K - $89K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.7,Wells Enterprises,"Senior Analyst, Revenue Growth Management, Global Brands","Chicago, IL",$85K - $119K (Employer est.),7d,, Management analyst 
management analyst,United States,,SkillBuildersABA,Lead Behavior Analyst (BCBA) GREAT PAY!!,"North Salt Lake, UT",$85.00 - $100.00 Per Hour (Employer est.),5d,, Management analyst 
management analyst,United States,3.9,National Grid,"Lead Analyst, Portfolio Management","Waltham, MA",$128K - $151K (Employer est.),5d,, Management analyst 
management analyst,United States,4.2,Mastercard,Lead FinOps Analyst,"O'Fallon, MO",$75K - $105K (Glassdoor est.),5d,, Management analyst 
management analyst,United States,3.8,Comcast Corporation,"Lead Analyst, Enterprise Talent Management","Philadelphia, PA",$73K - $122K (Glassdoor est.),21d,, Management analyst 
management analyst,United States,3.6,"Wellstar Health System, Inc.",Lead Epic Business Intelligence Analyst,"Atlanta, GA",$90K - $131K (Glassdoor est.),13d,, Management analyst 
management analyst,United States,3.9,Morgan Stanley,Fixed Income U.S. Portfolio Surveillance - Investment Management - Analyst / Associate,"New York, NY",$100K - $130K (Employer est.),5d,, Management analyst 
management analyst,United States,3.3,"Coca-Cola Consolidated, Inc.",Revenue Growth Lead Reporting Analyst,"Charlotte, NC",$72K - $94K (Glassdoor est.),7d,, Management analyst 
management analyst,United States,3.1,The MITRE Corporation,Lead Operations Research Analyst,"McLean, VA",,30d+,, Management analyst 
management analyst,United States,3.9,Leidos,Lead Thermal Analyst,"Huntsville, AL",$85K - $154K (Employer est.),6d,, Management analyst 
management analyst,United States,3.2,Point32Health,"Lead Program Analyst, Operational Resiliency & Crisis Management",Remote,,30d+,, Management analyst 
management analyst,United States,3.6,The Judge Group,Lead SAP Business Analyst ? Manufacturing,"King of Prussia, PA",$120K - $130K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.4,NYU Langone Health,Associate Revenue Cycle Management Analyst (Revenue Cycle-Initiatives) (Hybrid position),"New York, NY",$62K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.6,"Court Administration, Office of",Senior Management Analyst,"Troy, NY",$108K (Employer est.),5d,, Management analyst 
management analyst,United States,3.5,U.S. Bank National Association,Capital Management Senior Financial Analyst – Risk Weighted Asset Forecasting,"Charlotte, NC",$120K - $155K (Employer est.),30d+,, Management analyst 
management analyst,United States,,Lifepoint Health Support Center,Sr. Analyst Talent Management - Remote,"Brentwood, TN",,18d,, Management analyst 
management analyst,United States,4.2,Booz Allen,"Intelligence Analyst, Lead","Washington, DC",$97K - $220K (Employer est.),17d,, Management analyst 
management analyst,United States,3.6,Peraton,"Exploitation Analyst (EA), Lead Associate","Fort Meade, MD",$104K - $166K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.2,University of Florida,Data Management Analyst III,"Gainesville, FL",$80K - $85K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.9,Leidos,Senior Project Management Analyst,"Bethesda, MD",$112K - $203K (Employer est.),13d,, Management analyst 
management analyst,United States,3.2,Truist Bank,Senior Asset Liability Management Analyst,"Charlotte, NC",$79K - $108K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,4.4,Loop Capital,Operations Analyst/Associate – Asset Management,"Miami, FL",$75K - $90K (Employer est.),30d+,, Management analyst 
management analyst,United States,,"City of Santa Clara, CA",Senior Management Analyst,"Santa Clara, CA",$139K - $179K (Employer est.),26d,, Management analyst 
management analyst,United States,4.3,Google,"Lead Analyst, Trust and Safety, Responsible AI Testing","Seattle, WA",,20d,, Management analyst 
management analyst,United States,3.1,CVS Health,"Senior Analyst, Network Management","Phoenix, AZ",$47K - $102K (Employer est.),21d,, Management analyst 
management analyst,United States,3.6,M&T Bank,Business Systems Analyst VI - Compliance Risk Management,"Clanton, AL",$98K - $163K (Employer est.),5d,, Management analyst 
management analyst,United States,4.0,LINDT & SPRUNGLI,"Senior Revenue Growth Management (RGM) Analyst, Customer Planning","Stratham, NH",$88K - $111K (Employer est.),5d,, Management analyst 
management analyst,United States,3.6,HII,Logistics Management Analyst 5 - 18761,"Fort Belvoir, VA",,30d+,, Management analyst 
management analyst,United States,3.8,Unum,Workforce Management Analyst II/Forecasting and Analytics,"Baton Rouge, LA",$64K - $120K (Employer est.),7d,, Management analyst 
management analyst,United States,,HHSC East Hawaii Region (Hilo Benioff Medical Center),Management Analyst IV- Other Fiscal Services 169000(59928),"Hilo, HI",$63K (Employer est.),12d,, Management analyst 
management analyst,United States,3.9,CBRE,Sr. Operations Management Analyst,"Charlotte, NC",$80K - $90K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.4,NYU Langone Health,Sr. Revenue Cycle Management Analyst (Revenue Cycle-Initiatives) (Hybrid position),"New York, NY",$81K - $94K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.6,Wells Fargo,CIB Lead Data Management Analyst,"Charlotte, NC",$111K - $198K (Employer est.),3d,, Management analyst 
management analyst,United States,3.9,Bank of America,Global Liquidity Management Senior Analyst,"Charlotte, NC",$95K - $135K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.6,The Judge Group,Intrusion Analyst Lead,"Fairmont, WV",,7d,, Management analyst 
management analyst,United States,3.9,Leidos,Document Management Analyst II – Legal Assistant (Litigation Support),"Los Angeles, CA",$21.82 Per Hour (Employer est.),17d,, Management analyst 
management analyst,United States,3.7,Wells Enterprises,"Senior Analyst, Revenue Management","Chicago, IL",$85K - $119K (Employer est.),25d,, Management analyst 
management analyst,United States,4.1,Neuberger Berman,"Data Management, Senior Analyst - Alternative Investments","New York, NY",$60K - $110K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,International Monetary Fund,Data Management Analyst/Sr. Data Management Analyst - ICDIP,"Washington, DC",$74K - $102K (Glassdoor est.),5d,, Management analyst 
management analyst,United States,3.0,BNSF Railway,Analyst/Sr. Analyst Revenue Management (Liability Rating),"Sequoia National Park, CA",$59K - $88K (Employer est.),3d,, Management analyst 
management analyst,United States,3.6,Peraton,Senior Management Analyst,"Springfield, VA",$112K - $179K (Employer est.),3d,, Management analyst 
management analyst,United States,3.8,Merrick Bank,"Sr. Analyst, Existing Customer Management","South Jordan, UT",$98K - $109K (Employer est.),30d+,, Management analyst 
management analyst,United States,5.0,Information Technology Senior Management Forum,Sr Technical Analyst - Tech Vendor Management,"Atlanta, GA",$91K - $134K (Glassdoor est.),5d,, Management analyst 
management analyst,United States,3.0,County of Kern,Senior Kern360 Human Capital Management Analyst,"Bakersfield, CA",$6K - $8K (Employer est.),10d,, Management analyst 
management analyst,United States,3.5,BMO US,Senior Analyst U.S. Risk Management (ACL/PCL Reporting and Forecasting,"Chicago, IL",$73K - $135K (Employer est.),6d,, Management analyst 
management analyst,United States,,California Public Employees' Retirement System (CalPERS),Lead Financial Technology Reporting Analyst,"Sacramento, CA",$10K - $12K (Employer est.),3d,, Management analyst 
management analyst,United States,2.4,"ARKA Group, L.P.",Senior Environmental Health and Safety (EH&S) Lead Analyst,"Danbury, CT",$63K - $93K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,2.1,"Trident Technologies and Consulting - Global, LLC (T2C- Global)",Senior Management Analyst,"Washington, DC",$103K - $145K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,Protouch,Lead Board Certified Behavior Analyst,"Roswell, GA",$85K - $100K (Employer est.),4d,, Management analyst 
management analyst,United States,3.2,PODS,Analyst II - Risk Management,"Clearwater, FL",$77K - $115K (Glassdoor est.),26d,, Management analyst 
management analyst,United States,3.2,Latitude Therapy,Lead Board Certified Behavior Analyst (BCBA),"Saint Louis, MO",$84K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.9,Hilltop Holdings,Senior Business Analyst - PMO (Project Management Office),"Dallas, TX",$88K - $121K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,360 Behavioral Health,"Clinical Supervisor- Board Certified Behavior Analyst (BCBA)- Hybrid ($80,000K-$90,000K)","Stockton, CA",$75K - $90K (Employer est.),20d,, Management analyst 
management analyst,United States,4.1,"Raymond James Financial, Inc.","Sr Analyst, Asset Management Technology","Saint Petersburg, FL",$64K - $90K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.7,Amazon.com Services LLC,"Portfolio Manager & Credit Analyst, Treasury","New York, NY",$86K - $180K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,KBR,"Senior Treasury Analyst, Liquidity Management","Houston, TX",$78K - $118K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,"Social Connections Learning Center-Katy, LLC",Behavior Analyst Trainee- Supervision COHORT -Autism Interventionist/Autism Supervisor,"Katy, TX",$19.00 - $26.00 Per Hour (Employer est.),5d,, Management analyst 
management analyst,United States,3.2,Truist Bank,Senior Asset Liability Management Analyst,"Charlotte, NC",$79K - $108K (Glassdoor est.),24d,, Management analyst 
management analyst,United States,4.1,Lockheed Martin,Mechanical Engineering - Structural Dynamics Analyst Lead,"Roxborough Park, CO",$123K - $245K (Employer est.),24h,, Management analyst 
management analyst,United States,3.9,Mayo Clinic,Senior Business Analyst - Nursing Practice Transformation & Emergency Management,"Jacksonville, FL",$89K - $124K (Glassdoor est.),12d,, Management analyst 
management analyst,United States,3.6,ASRC Federal,Senior Data Analyst / Project Manager,Remote,,6d,, Management analyst 
management analyst,United States,3.8,Campbell Soup Company,"Sr. Analyst, Revenue Growth Management - M&B","Camden, NJ",$81K - $116K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.7,"T-Mobile USA, Inc.","Sr Analyst, Reporting & Business Management","Bellevue, WA",$81K - $146K (Employer est.),7d,, Management analyst 
management analyst,United States,3.6,The Cigna Group,Payer Solutions Inpatient UM Case Management Lead Analyst - Evernorth Health Services - Remote,Remote,$66K - $109K (Employer est.),17d,, Management analyst 
management analyst,United States,3.7,Cherokee Federal,Program Management Analyst III,"Dover, DE",$87K - $120K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,4.1,StepStone Group,Analyst / Associate - Real Estate Portfolio Management,"San Francisco, CA",$105K - $135K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.0,Nicklaus Children's Hospital,Identity/Access Management Analyst II,"Miami, FL",$54K - $80K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.8,Centene,Lead IT Portfolio Management Analyst,Missouri,$117K - $216K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.9,Bank of America,Capital Management Senior Financial Analyst,"Charlotte, NC",$81K - $102K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,4.1,Sayres & Associates,Mid-Level Program Management Analyst,"Washington, DC",$80K - $115K (Employer est.),10d,, Management analyst 
management analyst,United States,4.3,"Na Ali'i Consulting & Sales, LLC.",Senior Earned Value Management Analyst,"Washington, DC",$140K - $170K (Employer est.),5d,, Management analyst 
management analyst,United States,5.0,Kwaan Tech,"Management Analyst 2, Cost of Service Model (CoSM)","Washington, DC",$49K - $87K (Glassdoor est.),21d,, Management analyst 
management analyst,United States,4.0,Ford Motor Company,Claims Lead Analyst,"Livonia, MI",$68K - $103K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.6,Post Consumer Brands,"Financial Analyst II, Revenue Management","Lakeville, MN",$77K - $102K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,OTH Capital,Asset Management Analyst or Associate,"Austin, TX",,28d,, Management analyst 
management analyst,United States,3.6,Stifel,Treasury Management Product Analyst II,"Saint Louis, MO",$70K - $89K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,Advancing Communities Everywhere,Board Certified Behavior Analyst (BCBA) Clinical Manager,"Richmond, VA",$83K - $91K (Employer est.),30d+,, Management analyst 
management analyst,United States,,Helping Hands Family,"Lead Board Certified Behavior Analyst (BCBA) - Up to $10,000 Sign-On Bonus - NE Philly","Philadelphia, PA",$85K - $105K (Employer est.),21d,, Management analyst 
management analyst,United States,2.7,State of Washington Dept. of Corrections,Management Analyst 5,"Tumwater, WA",$88K - $118K (Employer est.),5d,, Management analyst 
management analyst,United States,3.6,Auto Club Of Southern Calif,Operations Lead Analyst,"Costa Mesa, CA",$90K - $120K (Employer est.),17d,, Management analyst 
management analyst,United States,3.2,Texas Health and Human Services Commission,IT Management Analyst V,"Austin, TX",$7K - $12K (Employer est.),13d,, Management analyst 
management analyst,United States,4.4,University of Illinois Urbana-Champaign,Service Management Analyst or Senior Service Management Analyst - Technology Services,"Urbana, IL",$65K - $85K (Employer est.),24h,, Management analyst 
management analyst,United States,4.0,State of Minnesota,Management Analyst 2,"Saint Paul, MN",$25.29 - $36.71 Per Hour (Employer est.),5d,, Management analyst 
management analyst,United States,3.9,CBRE,"Senior Analyst, Indirect Private Real Estate- Investment Management","Boston, MA",$110K - $120K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,"Ulta Beauty, Inc.",Lead Business Intelligence Analyst,"Bolingbrook, IL",$87K - $110K (Employer est.),5d,, Management analyst 
management analyst,United States,3.3,Tinuiti,Insights Lead Analyst,Remote,$100K - $110K (Employer est.),4d,, Management analyst 
management analyst,United States,3.6,Amentum,Life Cycle Logistics Management Analyst III,Remote,,30d+,, Management analyst 
management analyst,United States,4.1,Lockheed Martin,"Financial Analyst / Cost Management / Lvl 2 / Orlando, FL","Orlando, FL",,27d,, Management analyst 
management analyst,United States,3.6,Century College,Management Analyst 2 - Facilities Operations Analyst,"White Bear Lake, Ramsey, MN",$25.29 - $36.71 Per Hour (Employer est.),5d,, Management analyst 
management analyst,United States,4.0,Ares Management,"Analyst/Associate, Portfolio Management, Direct Lending","New York, NY",$95K - $125K (Employer est.),30d+,, Management analyst 
management analyst,United States,1.0,City of Palo Alto,Management Analyst / Senior Management Analyst (Real Estate Division),"Palo Alto, CA",$48.62 - $85.08 Per Hour (Employer est.),17d,, Management analyst 
management analyst,United States,3.3,CardWorks,"Sr. Analyst Third-Party Risk, Enterprise Risk Management",Long Island-Queens,$103K - $115K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.0,Photon,Lead Business Analyst,"Dallas, TX",$94K - $128K (Glassdoor est.),24h,, Management analyst 
management analyst,United States,3.8,Accenture,Business Analyst/Project Manager,"Dallas, TX",,4d,, Management analyst 
management analyst,United States,3.7,Citi,Global Credit Risk Officer - Program Management Sr Analyst - AVP (Hybrid),"Jacksonville, FL",$79K - $119K (Employer est.),6d,, Management analyst 
management analyst,United States,4.0,KING ARTHUR FLOUR,Sr. Category Management Analyst,United States,,21d,, Management analyst 
management analyst,United States,3.8,Northwell Health,Senior Product Services & Management Analyst (Hybrid) - HR Technology,"Lake Success, NY",$85K - $147K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.6,Kemper,"Senior Analyst, Data Management","Chicago, IL",$86K - $144K (Employer est.),30d+,, Management analyst 
management analyst,United States,2.4,"Advanced Environmental Laboratories, Inc","Environmental Laboratory - Managers, Analyst, Client Services, Courier",Florida,$14.00 - $30.00 Per Hour (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,Pepperdine University,Lead Student Financial Aid Systems Analyst (Higher Education),"Malibu, CA",$82K - $88K (Employer est.),12d,, Management analyst 
management analyst,United States,3.6,Peraton,"Computer Network Defense Analyst (CNDA), Lead Associate","Fort Meade, MD",$104K - $166K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.7,Amazon.com Services LLC,"Senior Portfolio Analyst, CorpDev Finance, Minority Investment and Warrant Portfolio Management","Seattle, WA",$60K - $129K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.7,Citi,Financial Planning and Analysis Lead Analyst,"New York, NY",$163K - $185K (Employer est.),4d,, Management analyst 
management analyst,United States,3.4,GLOBALFOUNDRIES,Credit Management and Collections Principal Analyst,"Austin, TX",$67K - $121K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.8,Kaiser Permanente,Senior ITSM Analyst - Software Asset Management,"Pasadena, CA",$115K - $148K (Employer est.),14d,, Management analyst 
management analyst,United States,3.5,Nordstrom Inc,Data Analyst 3 - Hardware Asset Management (Hybrid - Seattle),"Seattle, WA",$89K - $171K (Employer est.),6d,, Management analyst 
management analyst,United States,4.0,Transatlantic Reinsurance Co.,IT Support Analyst Lead,"New York, NY",$115K - $140K (Employer est.),20d,, Management analyst 
management analyst,United States,3.5,McDonald's Corporation,"Senior Data Analyst, Demand Modeling (Revenue Growth Management)","Chicago, IL",$87K - $109K (Employer est.),13d,, Management analyst 
management analyst,United States,,HRA/DEPT OF SOCIAL SERVICES,"SENIOR POLICY ANALYST, DATA MANAGEMENT AND ANALYSIS","New York, NY",$61K - $95K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.6,Nova Scotia Health Authority,"Senior Systems Analyst - Information Management & Technology, Medical Imaging",California,$37.61 - $47.01 Per Hour (Employer est.),8d,, Management analyst 
management analyst,United States,4.8,First Division Consulting,Life Cycle Logistics Management Analyst II,"Fort Belvoir, VA",$63K - $93K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.1,City of El Segundo,Senior Management Analyst (Communications) (Open-Competitive),"El Segundo, CA",$8K - $10K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.7,Citi,"AVP, Business Lead Analyst","Tampa, FL",$87K - $131K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,Logistics Management Institute,Senior Data and Performance Management Analyst,"Tysons Corner, VA",$150K - $190K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.8,Northern Trust Corp.,Sr Analyst - Business Unit Financial Analysis (Asset Management),"Chicago, IL",$83K - $141K (Employer est.),14d,, Management analyst 
management analyst,United States,3.4,"Universal Health Services, Inc. - Corporate Office",Senior Project Management Analyst - Healthcare IT,"King of Prussia, PA",$79K - $111K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.5,PNC Financial Services Group,Senior Fixed Income Credit Analyst - PNC Asset Management Group,"Philadelphia, PA",$76K - $121K (Glassdoor est.),26d,, Management analyst 
management analyst,United States,,City of Oxnard,Senior Management Analyst,"Pacific Grove, CA",$36.66 - $61.94 Per Hour (Employer est.),30d+,, Management analyst 
management analyst,United States,3.4,Molina Healthcare,"Lead Analyst, Healthcare Analytics - SQL/Power BI - Remote",Arizona,$78K - $171K (Employer est.),30d+,, Management analyst 
management analyst,United States,2.6,"City of El Segundo, CA",Senior Management Analyst (Communications) (Open-Competitive),"El Segundo, CA",$94K - $119K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,RELX,Software Asset Management Senior Analyst,"Raleigh, NC",$61K - $89K (Glassdoor est.),28d,, Management analyst 
management analyst,United States,4.2,County of Solano,Information Technology Analyst (Principal) - Technology Business Management,"Fairfield, CA",$112K - $136K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.4,State of Arizona,MANAGEMENT ANALYST 3,"Phoenix, AZ",$55K - $65K (Employer est.),5d,, Management analyst 
management analyst,United States,4.1,Electronic Arts,Lead Marketing Analyst,"Austin, TX",$115K - $161K (Employer est.),19d,, Management analyst 
management analyst,United States,4.8,New Jersey Courts,Lead Business Analyst (Information Technology Analyst 3),"Trenton, NJ",$88K - $124K (Employer est.),6d,, Management analyst 
management analyst,United States,3.6,Amentum,Senior Management Analyst,"Washington, DC",$130K - $160K (Employer est.),5d,, Management analyst 
management analyst,United States,3.4,AT&T,Lead Financial Analyst,"Dallas, TX",$119K - $178K (Employer est.),3d,, Management analyst 
management analyst,United States,4.2,ManTech,Lead Program Control Analyst,Remote,,11d,, Management analyst 
management analyst,United States,4.6,"SGI Global, LLC",Document Management Analyst II,"New York, NY",$25.00 - $35.00 Per Hour (Employer est.),30d+,, Management analyst 
management analyst,United States,3.9,CBRE,"Senior Analyst, Corporate Strategy - CBRE Investment Management","New York, NY",$125K - $135K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,Pepperdine University,Lead Student Financial Aid Systems Analyst (Higher Education),Remote,$82K - $88K (Employer est.),14d,, Management analyst 
management analyst,United States,2.8,NJM Insurance Group,Commercial Lines Senior Product Management Analyst,"Trenton, NJ",$99K - $114K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.6,Cencora,Lead Data Analyst - Compliance Monitoring (remote),"Conshohocken, PA",$87K - $124K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.4,City of Fresno,Senior Management Analyst (OPEN UNTIL FILLED),"Fresno, CA",$7K - $9K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.9,LexisNexis,Software Asset Management Senior Analyst,"Raleigh, NC",$68K - $97K (Glassdoor est.),28d,, Management analyst 
management analyst,United States,3.5,Anoka County,"Manager, Business Systems Analyst","Anoka, MN",$47.20 - $66.05 Per Hour (Employer est.),3d,, Management analyst 
management analyst,United States,4.0,The Tatitlek Corporation,Management Analyst Lead,"Norfolk, VA",$72K - $110K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.8,Indiana University Health,Senior Financial Analyst (Management Reporting),"Indianapolis, IN",$72K - $90K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,,Rose Companies Employer LLC / RCE,"Senior Analyst, Asset Management","New York, NY",$100K - $110K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.3,Mitsubishi HC Capital America Inc,Sr. Risk Management Analyst,"Norwalk, CT",$96K - $115K (Employer est.),4d,, Management analyst 
management analyst,United States,3.7,Citi,Product Management Sr Analyst - AVP,"Irving, TX",$107K - $161K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.8,"Oaktree Capital Management, L.P.","Analyst/Associate, Portfolio Construction and Risk Management","Los Angeles, CA",$85K - $135K (Employer est.),30d+,, Management analyst 
management analyst,United States,3.7,CAE,Sr. Analyst – Finance Operations & Project Management,"Arlington, TX",$90K - $127K (Glassdoor est.),28d,, Management analyst 
management analyst,United States,3.6,TC Energy,Lead Commercial Operations Analyst,"Houston, TX",$85K - $126K (Glassdoor est.),24h,, Management analyst 
management analyst,United States,4.0,State of Minnesota,Investigative Analyst - Management Analyst 2,"Saint Paul, MN",$25.29 - $36.71 Per Hour (Employer est.),11d,, Management analyst 
management analyst,United States,3.6,RR Donnelley,Senior Risk Management Analyst,"Chicago, IL",$87K - $144K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.1,Stryker,Lead Corporate Strategy Finance Analyst (Hybrid),"Portage, MI",$77K - $161K (Employer est.),30d+,, Management analyst 
management analyst,United States,4.0,YETI,Contracts Management Analyst II,"Austin, TX",$67K - $87K (Glassdoor est.),30d+,, Management analyst 
management analyst,United States,3.7,Citi,Digital Product Management Lead Analyst- EDO Data Solutions (Hybrid),"Tampa, FL",$126K - $188K (Employer est.),11d,, Management analyst 
management analyst,United States,4.0,Photon,Lead Data Analyst (Healthcare) - HEDIS,New Jersey,$46K - $162K (Employer est.),5d,, Management analyst 
management analyst,United States,3.1,Arizona Healthcare,Management Analyst 3,"Phoenix, AZ",$50K - $56K (Employer est.),7d,, Management analyst 
management analyst,United States,3.7,"City of Elk Grove, CA",Senior Management Analyst,"Elk Grove, CA",$50K - $129K (Employer est.),25d,, Management analyst 
management analyst,United States,3.6,HII,Hybrid Supply Chain Risk Management Analyst (Intelligence Analyst 3),"Woodlawn, MD",$85K - $127K (Employer est.),26d,, Management analyst 
